lemma,lila_id,wr,phon
ne,lilaLemma:113491,ne,nē
nec,lilaLemma:113512,nec,nĕc
neque,lilaLemma:114120,neque,nĕquĕ
nihil,lilaLemma:114071,nihil,nĭhĭl
nihil,lilaLemma:114071,nihilum,nĭhĭlum
nihil,lilaLemma:114071,nihili,nĭhĭlī
nihil,lilaLemma:114071,nil,nīl
nisi,lilaLemma:113704,nisi,nĭsĭ
nomen,lilaLemma:113797,nomen,nōmĕn
nomen,lilaLemma:113797,nominis,nōmĭnis
nomen,lilaLemma:113797,nomine,nōmĭne
non,lilaLemma:114108,non,nōn
nos,lilaIpoLemma:110487,nos,nōs
nos,lilaIpoLemma:110487,nosmet,nosmĕt
noster,lilaLemma:113882,noster,nostĕr
nouus,lilaLemma:113900,novus,nŏvus
nouus,lilaLemma:113900,nova,nŏva
nouus,lilaLemma:113900,novum,nŏvum
parum,lilaLemma:116130,parum,părŭm
pater,lilaLemma:116203,pater,pătĕr
pater,lilaLemma:116203,patris,pătris
pecunia,lilaLemma:116369,pecunia,pĕcūnĭa
pecunia,lilaLemma:116369,pecuniae,pĕcūnĭae
per,lilaLemma:116569,per,pĕr
periculum,lilaLemma:116930,periculum,pĕrīcŭlum
periculum,lilaLemma:116930,periculi,pĕrīcŭlī
peto,lilaLemma:117549,petii,petīī
peto,lilaLemma:117549,petivi,petīvī
peto,lilaLemma:117549,peto,pĕtō
peto,lilaLemma:117549,peto,pĕtō
peto,lilaLemma:117549,petis,pĕtis
peto,lilaLemma:117549,petere,pĕtĕre
peto,lilaLemma:117549,petii,petīī
peto,lilaLemma:117549,petitum,petītum
pono,lilaLemma:118414,pono,pōnō
pono,lilaLemma:118414,pono,pōnō
pono,lilaLemma:118414,ponis,pōnis
pono,lilaLemma:118414,ponere,pōnĕre
pono,lilaLemma:118414,posui,pŏsŭī
pono,lilaLemma:118414,positum,pŏsĭtum
pono,lilaLemma:118414,posivi,pŏsīvī
pono,lilaLemma:118414,posui,pŏsŭī
populus,lilaLemma:118463,populus,pŏpŭlus
populus,lilaLemma:118463,populi,pŏpŭlī
possum,lilaLemma:118569,potui,pŏtŭī
possum,lilaLemma:118569,potui,pŏtŭī
primum,lilaIpoLemma:35374,primo,prīmō
primum,lilaIpoLemma:35374,primum,prīmum
primus,lilaLemma:119498,primus,prīmus
primus,lilaLemma:119498,prima,prīma
primus,lilaLemma:119498,primum,prīmum
pro,lilaLemma:118468,pro,prō
publicus,lilaLemma:120358,publicus,pūblĭcus
publicus,lilaLemma:120358,publica,pūblĭca
publicus,lilaLemma:120358,publicum,pūblĭcum
puto,lilaLemma:120610,puto,pŭtō
puto,lilaLemma:120610,putas,pŭtās
puto,lilaLemma:120610,putare,pŭtāre
puto,lilaLemma:120610,putavi,pŭtāvī
puto,lilaLemma:120610,putatum,pŭtātum
qua,lilaIpoLemma:110471,qua,quā
qua,lilaIpoLemma:110471,qua,quā
qua,lilaIpoLemma:110471,quo,quō
qua,lilaIpoLemma:110471,quo,quō
qua,lilaIpoLemma:110471,quo,quō
qua,lilaIpoLemma:110471,qui,quī
qua,lilaIpoLemma:110471,qui,quī
qua2,lilaIpoLemma:110467,quoque,quōquĕ
qua2,lilaIpoLemma:110467,quoque,quŏquĕ
