"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"praefectura",4,0.186176402141029,0,0,0,0,0,0,0.255262729166594
"praefectus",13,0.605073306958343,1,0.152975370965275,4,10.4712041884817,0,0,0.208980907935121
"praefero",10,0.465441005352572,10,1.52975370965275,0,0,0,0,0.273407142683827
"praeficio",15,0.698161508028857,0,0,0,0,0,0,0.255262729166594
"praefinio",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praefulcio",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praegestio",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praegnans",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praegredior",1,0.0465441005352572,0,0,0,0,1,2.24668613794653,0.484571442436679
"praeluceo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praemitto",17,0.791249709099372,1,0.152975370965275,1,2.61780104712042,0,0,0.189389835932125
"praemium",57,2.65301373050966,8,1.2238029677222,3,7.85340314136126,0,0,0.124374356055964
"praemoenio",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
